gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison
Brwd3	46.286942629120986	-0.5643187210495634	0.1326381027413284	-4.254574736718762	2.094466960962376e-5	0.001611000031217317	het_vs_wt
Arid5a	315.8684951309055	-0.523603952481146	0.12306296479543567	-4.254764651180955	2.0926901049302028e-5	0.001611000031217317	het_vs_wt
Myadml2	117.04100940835252	0.5140965574242319	0.1207615814880929	4.257120112946863	2.0707711436107664e-5	0.001611000031217317	het_vs_wt
Trove2	581.9957279348264	-0.47256262391303244	0.11100229112152706	-4.257233063736166	2.0697255813165974e-5	0.001611000031217317	het_vs_wt
Creld2	380.46909160487473	-0.3868525328487446	0.09094302101397374	-4.25379021430686	2.1018222536269012e-5	0.001611000031217317	het_vs_wt
Shank2	3779.2057258688033	-0.3423188006017433	0.08049971981938706	-4.252422261466075	2.1147063595777596e-5	0.001611000031217317	het_vs_wt
Stox2	2129.780180499091	-0.32241341963182046	0.07579770799468571	-4.25360381153511	2.1035734855411305e-5	0.001611000031217317	het_vs_wt
Map3k2	356.50485631796016	-0.40762143647494764	0.09600586530731701	-4.24579722468145	2.1781755388304923e-5	0.001636894345276492	het_vs_wt
Ptchd1	235.23728514895373	-0.3743779063402098	0.08819093028665673	-4.245083991327996	2.185115560291965e-5	0.001636894345276492	het_vs_wt
Lonrf1	767.6195519458004	-0.33655094128133783	0.07924723233671452	-4.246847888029231	2.1679904069930874e-5	0.001636894345276492	het_vs_wt
Pla2g4e	232.85737393446317	0.5381300998819966	0.12685029003526066	4.242245719204995	2.2129420818593318e-5	0.0016485807199884657	het_vs_wt
Ndufa9	1956.5596700134304	0.2351250618769195	0.055496083180396776	4.23678660550902	2.267414418780679e-5	0.0016798800012548722	het_vs_wt
Nr4a3	766.7524600482345	-0.5813266474629792	0.13725420986764733	-4.235401216644254	2.2814398265391896e-5	0.0016810346787461438	het_vs_wt
Grin2b	482.7763764425297	-0.5546570041511478	0.1310847619513765	-4.231285131042826	2.3235989645593434e-5	0.001686074887612981	het_vs_wt
Trim36	93.49509777413799	-0.5032344361718382	0.11890077420272561	-4.232389902809416	2.3122110877139633e-5	0.001686074887612981	het_vs_wt
Hdac5	6060.912785694564	-0.31293712474797103	0.07396164854024817	-4.2310728725533755	2.3257930072383155e-5	0.001686074887612981	het_vs_wt
Vps29	948.1511045874618	0.2584744573189935	0.061154728304218656	4.226565377466701	2.3728535254402094e-5	0.0017109923495741061	het_vs_wt
Per2	1445.5694209069895	-0.5322068406602604	0.12614736719678057	-4.218929435364727	2.4546507651247704e-5	0.0017605590913267238	het_vs_wt
Sec24a	301.4388617246538	-0.449305646486654	0.10666060744152986	-4.21247972671596	2.525823911150835e-5	0.001802021672907823	het_vs_wt
